,city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
0,Punta Arenas,CL,-53.16,-70.91,44.26,75,75,39.15
1,Bela,PK,26.23,66.31,74.64,33,0,5.28
2,Champerico,MX,16.38,-93.6,82.4,51,5,5.82
3,Mwingi,KE,-0.93,38.07,58.53,89,0,2.93
4,Tabou,CI,4.42,-7.36,84.0,98,12,12.88
5,Aykhal,RU,65.95,111.51,26.67,80,68,12.21
6,Georgetown,GY,6.8,-58.16,75.2,88,20,4.7
7,Arlit,NE,18.74,7.39,72.93,25,12,8.41
8,Luderitz,NA,-26.65,15.16,56.55,91,56,8.63
9,Hithadhoo,MV,-0.6,73.08,84.45,100,8,6.17
10,Kirakira,SB,-10.46,161.92,84.9,100,68,3.94
11,Hermanus,ZA,-34.42,19.24,61.88,86,64,8.01
12,Atyrau,KZ,47.1,51.92,48.2,76,0,20.13
13,College,US,64.86,-147.8,38.3,47,75,6.93
14,Haapiti,PF,-17.57,-149.87,89.26,66,20,11.41
15,Albany,US,42.65,-73.75,37.76,75,40,4.38
16,Kavieng,PG,-2.57,150.8,83.55,100,24,4.16
17,Namatanai,PG,-3.66,152.44,83.37,100,44,2.93
18,Muros,ES,42.77,-9.06,41.16,93,40,3.36
19,Codrington,AU,-28.95,153.24,82.87,45,8,2.24
20,Corn Island,NI,12.17,-83.04,81.75,94,88,13.67
21,Tura,IN,25.52,90.21,68.61,90,48,8.97
22,New Norfolk,AU,-42.78,147.06,68.92,32,75,23.04
23,Dalvik,SE,57.79,14.13,42.71,70,76,4.7
24,Provideniya,RU,64.42,-173.23,18.93,100,20,9.98
25,Cape Town,ZA,-33.93,18.42,60.62,82,0,9.17
26,Ribeira Grande,PT,38.52,-28.7,58.8,100,44,27.54
27,Bluff,AU,-23.58,149.07,84.9,43,0,10.54
28,Port Lincoln,AU,-34.72,135.86,67.35,84,24,21.05
29,Shimoda,JP,34.7,138.93,70.75,55,0,17.22
30,Kabalo,CD,-6.05,26.92,71.31,99,32,6.62
31,Mirante do Paranapanema,BR,-22.29,-51.91,73.4,100,75,6.93
32,Sovetskiy,RU,56.76,48.47,33.96,95,92,12.66
33,Mataura,NZ,-46.19,168.86,60.01,52,0,1.01
34,Hobart,AU,-42.88,147.33,68.68,32,75,23.04
35,Port Hedland,AU,-20.31,118.58,100.4,18,0,14.99
36,Lovington,US,32.94,-103.35,60.26,24,1,5.82
37,Arys,KZ,42.43,68.8,57.2,54,0,8.95
38,Yellowknife,CA,62.45,-114.38,18.34,67,90,14.99
39,Fortuna,ES,38.18,-1.13,50.27,61,20,2.24
40,Ushuaia,AR,-54.81,-68.31,37.4,93,90,28.86
41,Cayenne,GF,4.94,-52.33,77.0,88,75,1.12
42,San Andres,PH,13.32,122.68,82.83,99,8,5.17
43,Mar del Plata,AR,-46.43,-67.52,58.44,39,0,13.78
44,Crossville,US,35.95,-85.03,59.59,67,1,4.7
45,Jamestown,AU,-33.21,138.6,73.65,36,0,18.81
46,Thompson,CA,55.74,-97.86,19.4,48,40,9.17
47,Busselton,AU,-33.64,115.35,69.51,33,0,7.74
48,Maumere,ID,-8.63,122.22,81.75,100,76,8.86
49,Torbay,CA,47.66,-52.73,32.31,89,90,10.29
50,Noumea,NC,-22.28,166.46,78.8,65,20,9.17
51,Khatanga,RU,71.98,102.47,12.63,94,92,11.43
52,Sitka,US,37.17,-99.65,54.0,83,20,1.99
53,Puerto Ayora,EC,-0.74,-90.35,77.0,94,0,6.73
54,Kodiak,US,39.95,-94.76,63.0,55,75,6.93
55,Tuktoyaktuk,CA,69.44,-133.03,1.4,77,75,13.87
56,Nikolsk,RU,59.53,45.45,30.45,95,48,4.94
57,Victoria,BN,5.28,115.24,88.11,79,75,1.12
58,Agadez,NE,16.97,7.99,82.92,27,36,14.9
59,East London,ZA,-33.02,27.91,62.6,88,0,9.17
60,Chokurdakh,RU,70.62,147.9,20.82,100,76,5.95
61,Viedma,AR,-40.81,-62.99,59.88,44,0,9.19
62,Piraquara,BR,-25.44,-49.06,65.57,100,90,3.36
63,Manoel Urbano,BR,-8.84,-69.26,72.3,76,88,4.38
64,Rikitea,PF,-23.12,-134.97,78.06,100,56,13.0
65,Roebourne,AU,-20.77,117.15,102.36,12,0,11.1
66,Bredasdorp,ZA,-34.53,20.04,62.85,88,48,2.24
67,Nikolskoye,RU,59.7,30.79,29.3,86,48,2.24
68,Saldanha,PT,41.42,-6.55,35.85,92,44,5.06
69,Qaanaaq,GL,77.48,-69.36,15.78,82,68,10.76
70,Innisfail,CA,52.02,-113.95,39.65,90,75,5.82
71,Kapaa,US,22.08,-159.32,78.35,57,90,9.17
72,Brownsville,US,25.91,-97.49,75.33,94,20,10.29
73,Katobu,ID,-4.94,122.53,86.7,84,0,3.94
74,Jennings,AU,-28.93,151.93,75.0,43,0,4.0
75,Riyadh,SA,24.63,46.72,77.0,44,40,10.29
76,Tasiilaq,GL,65.61,-37.64,30.2,68,92,38.03
77,Arraial do Cabo,BR,-22.97,-42.02,79.23,94,32,5.39
78,Castro,CL,-42.48,-73.76,55.4,93,90,9.17
79,Lebu,ET,8.96,38.73,59.0,67,0,4.7
80,Atuona,PF,-9.8,-139.03,83.1,98,44,12.1
81,Kamenka,RU,53.19,44.05,35.01,85,80,3.49
82,Kahului,US,20.89,-156.47,76.77,54,20,11.41
83,Vaini,IN,15.34,74.49,76.96,54,20,3.36
84,Kovdor,RU,67.56,30.47,28.56,84,92,2.37
85,Henties Bay,NA,-22.12,14.28,59.0,89,92,3.0
86,Craig,US,40.52,-107.55,40.24,75,90,4.7
87,Raudeberg,NO,61.99,5.14,40.6,65,12,11.41
88,Kaeo,NZ,-35.1,173.78,66.99,52,36,7.0
89,Alyangula,AU,-13.85,136.42,78.8,94,40,12.75
90,Seoul,KR,37.57,126.98,58.98,30,1,3.36
91,Estacion Coahuila,MX,32.19,-115.0,73.74,25,1,5.82
92,Bani Walid,LY,31.76,14.0,53.31,80,56,2.59
93,Moshi,TZ,-3.36,37.34,71.6,83,75,2.71
94,Carutapera,BR,-1.2,-46.02,75.9,99,56,6.29
95,Alenquer,BR,-1.95,-54.74,78.8,94,20,2.24
96,Dikson,RU,73.51,80.55,16.23,100,80,3.71
97,Avera,US,33.19,-82.53,63.52,94,90,4.7
98,Mouila,GA,-1.86,11.06,72.57,98,92,2.26
99,Lucapa,AO,-8.42,20.74,66.72,98,56,1.59
100,Hilo,US,19.71,-155.08,74.12,69,90,8.05
101,Teguldet,RU,57.31,88.17,29.82,69,80,8.41
102,Duluth,US,46.77,-92.13,36.95,100,90,8.05
103,Hambantota,LK,6.12,81.12,86.0,79,0,4.7
104,Chulym,RU,55.09,80.97,28.2,96,0,13.0
105,Saint-Philippe,CA,45.36,-73.48,36.46,93,75,3.36
106,Salalah,OM,17.01,54.1,77.0,73,75,4.7
107,Longyearbyen,NO,78.22,15.63,15.8,61,20,11.41
108,Norman Wells,CA,65.28,-126.83,30.2,54,20,4.7
109,Vila do Maio,CV,15.13,-23.22,69.8,73,20,17.22
110,Sosnovo-Ozerskoye,RU,52.53,111.54,30.45,45,0,5.95
111,Laguna,MX,27.52,-110.01,70.68,37,0,5.17
112,Upernavik,GL,72.79,-56.15,30.99,72,0,17.47
113,Inirida,CO,3.87,-67.92,77.88,84,0,2.71
114,Bandarbeyla,SO,9.49,50.81,79.32,100,0,2.82
115,Lithgow,AU,-33.48,150.16,80.92,58,0,1.12
